mz,intensity
15.0200,85.00
28.0100,49.48
32.0700,128.23
42.0800,48.52
43.0900,50.44
44.0800,120.62
59.0100,33.79
77.0000,92.43
78.8300,17.81
82.1300,124.29
91.0000,94.15
99.7400,15.85
105.0000,101.08
115.0000,58.70
119.0000,46.65
128.0000,42.36
132.0000,52.96
141.0000,158.90
142.1300,56.71
171.1100,67.84
181.2200,29.10
205.4700,16.60
205.5500,28.48
214.6700,30.88
252.4800,58.26
257.4600,52.41
258.4700,63.87
259.4500,64.46
269.4400,37.24
271.4400,111.14
286.4700,250.00
287.4700,25.84
