ppm,intensity
0.5189,100.00
0.6168,100.00
0.6648,100.00
0.8010,100.00
0.8849,100.00
1.0497,100.00
1.1425,100.00
1.2092,100.00
1.3131,100.00
1.5307,100.00
1.6265,100.00
1.7103,100.00
1.8193,100.00
1.8590,100.00
2.0291,100.00
2.0531,100.00
2.1568,100.00
2.3315,100.00
2.3646,100.00
2.6384,100.00
2.7105,100.00
2.7580,100.00
2.9178,100.00
3.0084,100.00
3.1194,100.00
3.1683,100.00
3.3376,100.00
3.3711,100.00
3.4833,100.00
3.6226,100.00
3.6663,100.00
3.8308,100.00
3.8626,100.00
3.9512,100.00
4.0822,100.00
4.2492,100.00
4.3378,100.00
4.3559,100.00
4.5307,100.00
4.5771,100.00
