mz,intensity
16.0000,123.60
27.7800,25.31
31.7200,55.13
42.0400,56.97
45.0200,111.00
51.0000,31.06
63.8200,30.12
77.0000,142.66
91.0000,95.32
105.0000,117.21
109.1000,52.27
115.0000,47.54
119.0000,99.28
130.1400,65.39
141.0000,129.16
173.3200,34.64
175.5900,29.96
186.0200,63.93
233.4800,14.86
262.8400,10.52
309.3100,46.75
310.3200,45.98
311.2900,50.21
323.2900,49.92
324.3000,30.53
325.2700,46.75
326.3200,76.28
336.3000,136.99
337.3100,77.06
339.2900,92.10
354.3100,250.00
355.3100,23.03
