ppm,intensity
0.5404,100.00
0.5796,100.00
0.7330,100.00
0.8469,100.00
0.9388,100.00
1.0408,100.00
1.0632,100.00
1.2100,100.00
1.2702,100.00
1.3661,100.00
1.5326,100.00
1.6640,100.00
1.7856,100.00
1.8659,100.00
1.9526,100.00
2.0570,100.00
2.1949,100.00
2.4163,100.00
2.6368,100.00
2.7490,100.00
2.7629,100.00
2.9869,100.00
3.1227,100.00
3.3452,100.00
3.4137,100.00
3.4885,100.00
3.5652,100.00
3.6820,100.00
3.8378,100.00
3.9293,100.00
4.0409,100.00
4.3376,100.00
4.6369,100.00
5.2787,100.00
6.1397,100.00
6.1738,100.00
6.4566,100.00
